ID,Code,Name
4,332098,59,뷔퇘
31,332105,59,뀌콰
101,332120,59,뤄벼
123,332124,59,쬐궤
138,332126,59,줘파
223,332142,59,르귀
225,332142,59,푸뻬
240,332145,59,리무
243,332145,59,퍄노
259,332148,59,쩌쒜
264,332149,59,쫘니
271,332150,59,채뤼
284,332153,59,톄태
290,332155,59,쩌뾰
308,332158,59,뵈꼬
353,332166,59,쿄꺄
387,332174,58,외두
390,332174,58,노쉬
455,332184,58,슈쾌
474,332188,58,쐬표
487,332189,58,바계
541,332199,58,춰돠
557,332203,58,료뒈
574,332205,58,됴쬐
602,332212,58,먀회
807,332253,58,먀꿰
819,332256,58,쌔쳐
842,332260,58,찌로
847,332260,58,큐퀘
873,332264,58,얘툐
895,332268,58,톼어
932,332275,58,꽈쳐
1013,332289,58,뱌몌
1050,332295,58,꿰베
1083,332300,58,꼬뮈
1087,332300,58,쟤뙤
1195,332317,57,세뙤
1205,332318,57,뼈죄
1259,332328,57,세오
1267,332330,57,퓨애
1288,332334,57,투숴
1291,332334,57,두뾰
1305,332336,57,떼춰
1315,332338,57,뀨귀
1316,332338,57,가네
1379,332348,57,위뫄
1409,332354,57,가눠
1417,332356,57,후유
1482,332367,57,뻐녀
1564,332381,57,쟤쟈
1566,332382,57,퍼토
1607,332387,57,켜풔
1636,332392,57,빠때
1656,332397,57,꽈워
1695,332404,57,쭤수
1728,332409,57,뜨니
1754,332411,57,뵈터
1755,332412,57,뤠꿰
1765,332413,57,톄쒜
1773,332414,57,꼐세
1789,332416,57,회터
1790,332417,57,드펴
1820,332424,56,뼈꽈
1821,332425,56,톼똬
1831,332426,56,놔도
1835,332427,56,례뵈
1872,332433,56,뤄쎄
1898,332437,56,쏴롸
1902,332438,56,터츄
1910,332440,56,쒜쯔
1911,332440,56,체놔
1947,332447,56,교쭤
1959,332449,56,류뎨
1974,332450,56,규와
1984,332452,56,최둬
1995,332455,56,쵸쟈
2007,332457,56,쉬외
2028,332461,56,세뾔
2066,332468,56,쪼츠
2107,332474,56,희찌
2179,332487,56,표히
2184,332488,56,무뫄
2192,332489,56,두토
2197,332489,56,예내
2211,332493,56,배뢰
2237,332496,56,뉘기
2323,332512,56,봬토
2338,332515,56,쇠져
2351,332517,56,똬풔
2370,332520,56,뛰뱌
2404,332526,56,벼괘
2460,332537,56,괴쒸
2555,332551,56,주뤠
2560,332552,56,쿄재
2566,332553,56,두퐈
2574,332554,56,쪼뤄
2575,332554,56,예류
2684,332576,55,혀오
2691,332577,55,켜뭬
2711,332579,55,꼐스
2777,332590,55,봬처
2793,332593,55,봐료
2805,332595,55,봐꾜
2825,332599,55,췌채
2850,332603,55,표뷔
2864,332605,55,또쑈
2898,332612,55,숴얘
2921,332616,55,꿔끄
2929,332617,55,토래
2932,332618,55,뒈걔
2964,332623,55,좨뤼
3002,332630,55,뎌오
3069,332642,55,르뎨
3074,332642,55,로봐
3084,332645,55,퐈아
3085,332645,55,줴퀘
3107,332649,55,며줴
3118,332651,55,뻬요
3137,332654,55,드띄
3156,332657,55,와눼
3179,332662,55,몌뜨
3209,332666,55,기묘
3211,332666,55,퇘보
3219,332667,55,쒜터
3238,332670,55,리훼
3279,332677,55,퍄똬
3361,332689,55,쇄뱌
3374,332692,55,셔뚜
3389,332694,55,위쪄
3404,332696,55,뉴튀
3426,332699,55,따봬
3463,332706,55,둬쑈
3532,332719,55,톄쏘
3552,332722,55,훠틔
3594,332728,55,무쒀
3708,332747,55,써졔
3720,332749,55,구뮈
3778,332761,55,뤄까
3823,332767,54,채죠
3838,332771,54,웨끄
3848,332773,54,써느
3866,332778,54,둬티
3888,332783,54,크오
3901,332785,54,뇨세
3916,332789,54,쬐화
3919,332789,54,눠태
3956,332796,54,키뾰
3965,332798,54,둬풔
4003,332807,54,쪼씌
4016,332809,54,껴쇼
4062,332815,54,께으
4069,332817,54,놔키
4133,332827,54,깨쀼
4140,332828,54,띠퇘
4180,332835,54,개쾨
4185,332835,54,쭤메
4200,332837,54,떠퉤
4219,332841,54,쿄뎨
4249,332848,54,걔외
4252,332848,54,케희
4255,332848,54,떠쾌
4310,332859,54,뷔뉘
4369,332869,54,흐뗘
4411,332876,54,페띠
4557,332898,54,햐춰
